Date,market_kospi,bond_k3y,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
2020-03-23,1482.459961,57310,0.9539774575997297,0.8740033288397937,0.7097684913984246,0.7068648088003424,0.9986408308357148,0.9972593204854918,1.0010363780334437,1.0043270824540675
2020-03-24,1609.969971,57350,1.044428607298607,0.9693499055797801,0.7744021717764459,0.7690083436379115,1.000174398325776,0.9983636237030847,1.0016359180061594,1.0049781612199926
2020-03-25,1704.76001,57375,1.0898634276915942,1.039155170118896,0.8232513871475721,0.8154481255537285,1.0013263756784585,0.9992250019592647,1.0019660946897981,1.0053633983473198
2020-03-26,1686.23999,57470,1.0474086841904773,1.0372291420429736,0.8177168100905025,0.8078328823024891,1.0019002458116142,1.0011061465165094,1.003489309442671,1.006952328040667
2020-03-27,1717.72998,57595,1.0472481932016742,1.0601013970689848,0.8362311449486605,0.8239523807227059,1.00304771856496,1.0029778489830037,1.0054978388357791,1.009056307368415
2020-03-30,1717.119995,57500,1.0177552425204408,1.0595771565486176,0.839052520584364,0.8246604769207194,1.0007309687075776,1.001340926109747,1.0037079006358272,1.0073426519828226
2020-03-31,1754.640015,57545,1.0224591002640397,1.0772652995258045,0.8603418115786319,0.8435814965586013,1.0008348261648434,1.0022031226869388,1.0043794516304039,1.0080728748485424
2020-04-01,1685.459961,57480,0.9843608030048728,1.0288380410073494,0.8296049440021102,0.8114946750994957,0.9993393372509475,1.0012454601670484,1.0031632452714938,1.0068783501302099
2020-04-02,1724.859985,57560,1.0028477360758268,1.0359899048485808,0.8521486821989619,0.8314763158763394,1.0004171301446052,1.001940868778123,1.004425042570858,1.0082105401440675
2020-04-03,1725.439941,57560,1.002286350567352,1.0265172283644397,0.8554348796433845,0.8328236863688137,1.0005388586625876,1.0014876162472053,1.0042790032234286,1.0081340208743526
2020-04-06,1791.880005,57590,1.0319178972537588,1.0467750628794046,0.8912802471271193,0.8658520796030678,1.0007472153196517,1.0015216729707404,1.0046242253586646,1.0085784921818677
2020-04-07,1823.599976,57555,1.041909491401453,1.0521742439680712,0.9099452978052326,0.8820481049659825,1.0001042589793046,1.0005562992194426,1.0038341797209973,1.0078927225989291
2020-04-08,1807.140015,57630,1.0183457254692894,1.036554219974976,0.904908750325674,0.8750590561163603,1.0008857395925599,1.0014161967731565,1.0049319495586821,1.0091155428249574
2020-04-09,1836.209961,57735,1.0219027154386586,1.04424569174758,0.9225655903804252,0.8900035309412478,1.0021001839830597,1.0027789839339991,1.0065493555248202,1.0108346440149754
2020-04-10,1860.699951,57750,1.0201731721761902,1.0496388127003402,0.9377778064766477,0.9026028399771776,1.001699854298203,1.002769554006303,1.00659589024183,1.0109726271502315
2020-04-13,1825.76001,57730,0.9973113994419667,1.023655394563259,0.923443979038425,0.8865106753341594,1.000866851595007,1.002022095515808,1.006020789586038,1.010492045270557
2020-04-14,1857.079956,57710,1.010722876636963,1.035269551922604,0.9424111778355387,0.9025647705073,0.9999826722808477,1.0013881658858235,1.005448867323783,1.0100137970463237
2020-04-16,1857.069946,57730,1.0052539626110173,1.0254536906915968,0.9456499029559435,0.9033778257708782,0.9999826782837643,1.0013008412106497,1.0055549668835722,1.0102378527122908
2020-04-17,1914.530029,57730,1.0276442711527236,1.04622501543532,0.9776073178536658,0.9319760061638591,1.0,1.0010056873352753,1.005338994980271,1.0101119090146904
2020-04-20,1898.359985,57695,1.0148618595607495,1.0276776140635473,0.9724032571949249,0.924815614403432,0.9995841923803254,1.0001646860996265,1.0045108243825365,1.0093729361389452
2020-04-21,1879.380005,57695,0.9989879363158403,1.0126062694589684,0.9657047246496038,0.9163661598129074,0.9997054338785695,0.999982667775929,1.0042966268143168,1.0092221217220945
