,date,open,high,low,close,volume,change,bps,per,pbr,eps,div,dps,inst,ind,foreign,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,close_ma10_ratio,close_ma20_ratio,close_ma60_ratio,close_ma120_ratio,volume_ma5_ratio,volume_ma10_ratio,volume_ma20_ratio,volume_ma60_ratio,volume_ma120_ratio,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
44,20170308,44750,46350,44750,45900,126981,0.020000000000000018,33775,19.15,1.36,2397,2.18,1000,1885967150,-2040318750,139941550,0.07101827750940548,0.9944444444444445,1.0098039215686274,0.9749455337690632,0.9749455337690632,0.8644396639753836,1.0396375990939977,1.0493827160493827,1.0485436893203883,,,1.349581035868091,1.753910285805842,1.9129377629741442,,,1143216050.0,-1298940240.0,-577866855.0,-600070737.5,,,-264259650.0,779167800.0,333427270.0,590642172.5,,,-859285200.0,779167800.0,333427270.0,590642172.5,,
45,20170309,45950,45950,45100,45350,59800,-0.011982570806100212,33775,18.92,1.34,2397,2.21,1000,-387827500,-97804600,410445100,0.07082452607709307,1.0010893246187365,1.0132304299889747,0.9944873208379272,1.0132304299889747,0.47093659681369654,1.015450067174205,1.0327943520838079,1.033853869827881,,,0.6467367911040165,0.8147227762700411,0.9099478758118964,,,1942514150.0,-1406035230.0,-665516730.0,-553625220.0,,,-2273794650.0,892146170.0,337817845.0,515764987.5,,,270503550.0,892146170.0,337817845.0,515764987.5,,
46,20170310,45300,45550,44550,45300,61333,-0.0011025358324145973,33775,18.9,1.34,2397,2.21,1000,22324350,162390350,-191897200,0.07089947266553445,0.9988974641675854,1.0055187637969094,0.9834437086092715,1.0,1.0256354515050168,1.0071142730102267,1.0263962841282428,1.0305408633339022,,,0.6919211747080377,0.8505182873981626,0.92002697093724,,,260194950.0,-996947590.0,-719661770.0,-542839127.5,,,410151850.0,784084640.0,427188250.0,529267747.5,,,-602342300.0,784084640.0,427188250.0,529267747.5,,
47,20170313,45000,45650,45000,45350,34905,0.001103752759381793,33775,18.92,1.34,2397,2.21,1000,45669550,-197588550,153236750,0.07082452607709307,0.9933774834437086,1.0066152149944874,0.9922822491730982,0.9922822491730982,0.5691063538388795,0.999338915821948,1.0228938761700688,1.0301550343574308,,,0.4059542279484454,0.4891196966490992,0.5612706376101979,,,-359978900.0,-1071371270.0,-717472375.0,-454786425.0,,,23345200.0,743272070.0,426044040.0,367447330.0,,,345133950.0,743272070.0,426044040.0,367447330.0,,
48,20170314,45200,45800,44800,45650,71685,0.006615214994487362,33775,19.04,1.35,2397,2.19,1000,156644100,-503047050,372271900,0.07090336259673624,0.9966923925027563,1.0032858707557504,0.9813800657174151,0.9901423877327492,2.0537172324881823,1.003076246978686,1.0242315458828808,1.03467815049864,,,1.0104904370968468,0.941841902997576,1.1282517802801073,,,-305458500.0,-535273720.0,-742264210.0,-461256485.0,,,110974550.0,344555530.0,413319775.0,352057382.5,,,219035150.0,344555530.0,413319775.0,352057382.5,,
49,20170315,45750,45900,45200,45500,43446,-0.003285870755750264,33775,18.98,1.35,2397,2.2,1000,-91960600,-505942700,623250650,0.07112750389050884,1.0021905805038336,1.0087912087912088,0.9934065934065934,1.0054945054945055,0.6060682151077631,1.0015408320493067,1.0158517526233535,1.0294699926466429,,,0.8010871449170074,0.5858295746445258,0.694653077180744,,,-2895650.0,-228398510.0,-763669375.0,-446852102.5,,,-248604700.0,-51030020.0,364068890.0,305838567.5,,,250978750.0,-51030020.0,364068890.0,305838567.5,,
50,20170316,45950,45950,45050,45650,70776,0.003296703296703285,33775,19.04,1.35,2397,2.19,1000,393983350,-899801450,507184700,0.07090336259673624,1.0098901098901099,1.0065717415115005,0.9868565169769989,1.0065717415115005,1.629056760116006,1.0035172565398989,1.0127565169162507,1.0304740406320543,,,1.254248701908593,0.9506948604771742,1.1105793446929102,,,-393858750.0,-388797880.0,-897416555.0,-499239410.0,,,485943950.0,105332150.0,498739160.0,332300270.0,,,-116065950.0,105332150.0,498739160.0,332300270.0,,
51,20170317,46000,46150,45450,46050,70760,0.008762322015334112,33775,19.21,1.36,2397,2.17,1000,289046800,-1049307250,761952750,0.07079646092166136,1.0076670317634173,1.002171552660152,0.9869706840390879,0.998914223669924,0.9997739346671188,1.0089833479404031,1.016331935555065,1.0368702504925416,,,1.2134224136748384,0.9630093361278206,1.0966419601932607,,,-149505800.0,-631137400.0,-814042495.0,-528501847.5,,,-104936550.0,158676640.0,471380640.0,304355475.0,,,254768050.0,158676640.0,471380640.0,304355475.0,,
52,20170320,46000,46200,45400,46000,55133,-0.0010857763300760048,33775,19.19,1.36,2397,2.17,1000,803934250,-731594200,-71878550,0.07087024566467508,0.998914223669924,1.0043478260869565,0.9869565217391304,1.0,0.7791548897682307,1.0050251256281406,1.0093252879868349,1.0332434860736748,,,0.884108402822322,0.7433198555236324,0.8459737874408959,,,317713050.0,-737938530.0,-904654900.0,-531973430.0,,,514887450.0,310329580.0,526800825.0,293910690.0,,,-833831300.0,310329580.0,526800825.0,293910690.0,,
53,20170321,46350,46350,45700,46000,51306,0.0,33775,19.19,1.36,2397,2.17,1000,-381771600,-105615150,487386750,0.07087024566467508,1.007608695652174,1.007608695652174,0.9934782608695653,1.007608695652174,0.930586037400468,1.0034904013961605,1.0071154898741106,1.030581382323289,,,0.8802728698343634,0.7940568775391759,0.776404893956705,,,625979050.0,-658452150.0,-596862935.0,-535382440.0,,,-1185705850.0,202646440.0,273600985.0,266356547.5,,,559265300.0,202646440.0,273600985.0,266356547.5,,
